timestamp,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
0.032050,-0.417800,2.536710,0.078550,-1.078515,-0.691195,0.991050,0.209785,0.418705,2.532680,-0.078280,-1.078050,0.693400,0.993695,-0.212510
0.036635,-0.417843,2.535179,0.078536,-1.078475,-0.692412,0.991483,0.210392,0.418773,2.529737,-0.078346,-1.077103,0.694703,0.994333,-0.213345
0.041219,-0.417839,2.533750,0.078584,-1.078362,-0.693208,0.991842,0.210815,0.418804,2.527199,-0.078383,-1.076102,0.695746,0.994785,-0.213940
0.045804,-0.417839,2.531539,0.078610,-1.077933,-0.694361,0.992326,0.211380,0.418872,2.523593,-0.078436,-1.074452,0.697424,0.995349,-0.214684
0.050389,-0.417853,2.527689,0.078625,-1.076761,-0.696841,0.992927,0.212111,0.418986,2.517741,-0.078498,-1.071625,0.700470,0.996279,-0.215614
0.054973,-0.417883,2.522625,0.078630,-1.074742,-0.700115,0.993583,0.212880,0.419269,2.510576,-0.078581,-1.068082,0.703942,0.997566,-0.216508
0.059558,-0.417853,2.516728,0.078676,-1.072146,-0.703248,0.994685,0.213573,0.419742,2.502558,-0.078645,-1.064137,0.707161,0.999174,-0.217357
0.064143,-0.418037,2.505294,0.078699,-1.066620,-0.708453,0.997299,0.214558,0.420774,2.487523,-0.078723,-1.056623,0.713663,1.002392,-0.218604
0.068727,-0.418472,2.495768,0.078763,-1.061828,-0.713791,0.999579,0.215273,0.422079,2.475904,-0.078792,-1.050358,0.719676,1.004917,-0.219430
0.073312,-0.419279,2.483897,0.078815,-1.055756,-0.720832,1.002561,0.216086,0.424166,2.462046,-0.078848,-1.042862,0.727103,1.007518,-0.220145
0.077896,-0.420662,2.470475,0.078892,-1.048631,-0.728955,1.005356,0.216842,0.426910,2.446864,-0.078874,-1.034469,0.736109,1.009976,-0.220436
0.082481,-0.422765,2.455376,0.078925,-1.040530,-0.738851,1.007884,0.217429,0.430260,2.430152,-0.078820,-1.025244,0.746759,1.012802,-0.220600
0.087066,-0.425090,2.441091,0.078926,-1.032897,-0.748477,1.010334,0.217685,0.433573,2.414721,-0.078752,-1.016868,0.756660,1.015535,-0.220617
0.091650,-0.427229,2.428942,0.078948,-1.026433,-0.756342,1.012522,0.217874,0.436433,2.401948,-0.078649,-1.010053,0.764762,1.018056,-0.220624
0.096235,-0.430942,2.409652,0.078977,-1.016214,-0.768880,1.016395,0.217987,0.440938,2.382117,-0.078475,-0.999388,0.777878,1.022641,-0.220634
0.100820,-0.435120,2.389376,0.079024,-1.005504,-0.782499,1.021245,0.218079,0.445374,2.361859,-0.078346,-0.988548,0.791772,1.027735,-0.220580
0.105404,-0.440584,2.363603,0.079173,-0.991804,-0.799868,1.027440,0.218202,0.450780,2.336980,-0.078057,-0.975432,0.809675,1.033867,-0.220493
0.109989,-0.447551,2.331125,0.079175,-0.974255,-0.823349,1.034867,0.218329,0.457466,2.306429,-0.077757,-0.959796,0.833504,1.041247,-0.220321
0.114574,-0.452215,2.309842,0.079252,-0.963005,-0.839421,1.039826,0.218340,0.461965,2.286725,-0.077506,-0.950291,0.849614,1.045751,-0.220329
0.119158,-0.457109,2.287932,0.079346,-0.951845,-0.856214,1.044869,0.218411,0.466700,2.266564,-0.077013,-0.940811,0.866675,1.050045,-0.220263
0.123743,-0.462205,2.266171,0.079380,-0.941129,-0.873795,1.049253,0.218451,0.471457,2.246720,-0.076264,-0.931550,0.884642,1.053838,-0.220124
0.128328,-0.467246,2.245058,0.079235,-0.931075,-0.892123,1.053188,0.218629,0.476038,2.227485,-0.075074,-0.922598,0.902694,1.057255,-0.220020
0.132912,-0.470939,2.229771,0.078886,-0.923999,-0.905413,1.055843,0.218719,0.479101,2.213436,-0.073779,-0.916154,0.915897,1.059532,-0.219936
0.137497,-0.474497,2.214683,0.078257,-0.917070,-0.918608,1.058050,0.218812,0.481713,2.199219,-0.071990,-0.909592,0.928905,1.061649,-0.219801
0.142082,-0.479198,2.193445,0.076836,-0.907366,-0.936859,1.061141,0.218993,0.484861,2.178810,-0.068751,-0.900182,0.946492,1.064647,-0.219627
0.146666,-0.483058,2.172365,0.074510,-0.897924,-0.953649,1.064257,0.219062,0.487235,2.158385,-0.064791,-0.890782,0.962606,1.067487,-0.219408
0.151251,-0.486133,2.152364,0.071562,-0.888777,-0.968821,1.067255,0.219203,0.488960,2.139003,-0.060402,-0.881812,0.977399,1.069970,-0.219204
0.155836,-0.489864,2.119932,0.064895,-0.873724,-0.993082,1.071217,0.219481,0.490749,2.107637,-0.052161,-0.867259,1.001746,1.072631,-0.218967
0.160420,-0.491312,2.100532,0.059879,-0.864628,-1.008074,1.072493,0.219650,0.491614,2.088812,-0.046649,-0.858931,1.016846,1.073094,-0.218829
0.165005,-0.492565,2.079945,0.053906,-0.855094,-1.024280,1.073185,0.219730,0.492529,2.068505,-0.040401,-0.850348,1.032965,1.073427,-0.218673
0.169589,-0.493599,2.059295,0.047355,-0.845889,-1.040226,1.073800,0.219823,0.493411,2.047869,-0.033734,-0.841938,1.048329,1.073749,-0.218557
0.174174,-0.494480,2.039009,0.040601,-0.837414,-1.054449,1.074404,0.219817,0.494225,2.027502,-0.027047,-0.833776,1.061679,1.074137,-0.218459
0.178759,-0.495182,2.020666,0.034153,-0.829967,-1.065745,1.074919,0.219924,0.494905,2.009000,-0.021001,-0.826166,1.072416,1.074462,-0.218343
0.183343,-0.495972,1.998961,0.026290,-0.821137,-1.077965,1.075394,0.220033,0.495337,1.987314,-0.013953,-0.816881,1.084352,1.074790,-0.218152
0.187928,-0.496638,1.977543,0.018422,-0.812229,-1.089472,1.075857,0.220111,0.495574,1.966046,-0.007303,-0.807672,1.095201,1.075044,-0.218108
0.192513,-0.497152,1.955379,0.010300,-0.802822,-1.099901,1.076309,0.220175,0.495539,1.944059,-0.000882,-0.798336,1.104910,1.075238,-0.218047
0.197097,-0.497507,1.924407,-0.000552,-0.789501,-1.112145,1.076922,0.220182,0.495593,1.913636,0.007056,-0.786002,1.116239,1.075213,-0.217880
0.201682,-0.497620,1.902181,-0.007723,-0.780224,-1.119521,1.077298,0.220149,0.495675,1.892319,0.011773,-0.777578,1.123705,1.075145,-0.217879
0.206267,-0.497697,1.880575,-0.014096,-0.771400,-1.126780,1.077593,0.220131,0.495754,1.871682,0.015843,-0.769473,1.131087,1.075083,-0.217880
0.210851,-0.497748,1.860389,-0.019291,-0.763321,-1.133481,1.077790,0.220095,0.495855,1.852279,0.019169,-0.761853,1.137716,1.075043,-0.217944
0.215436,-0.497881,1.840137,-0.023718,-0.755422,-1.139593,1.077957,0.220064,0.495916,1.832131,0.022333,-0.753995,1.143309,1.074992,-0.217936
0.220021,-0.497965,1.823744,-0.026789,-0.749118,-1.143637,1.078071,0.220040,0.496008,1.815447,0.024916,-0.747478,1.146756,1.074905,-0.217960
0.224605,-0.498074,1.804616,-0.029957,-0.741755,-1.146803,1.078270,0.220008,0.496068,1.795794,0.028144,-0.739537,1.149379,1.074640,-0.217940
0.229190,-0.498101,1.784471,-0.033062,-0.733923,-1.148916,1.078260,0.219913,0.496139,1.775292,0.031814,-0.730995,1.151288,1.073435,-0.217954
0.233775,-0.498216,1.763954,-0.036415,-0.725570,-1.150564,1.077116,0.219894,0.496225,1.754568,0.035955,-0.722077,1.152991,1.070618,-0.217923
0.238359,-0.498278,1.742549,-0.040274,-0.716485,-1.152255,1.073870,0.219919,0.496306,1.733156,0.040925,-0.712685,1.154690,1.065482,-0.217711
0.242944,-0.498358,1.720175,-0.044853,-0.706769,-1.154027,1.068193,0.219811,0.496346,1.710954,0.046774,-0.702808,1.156498,1.058365,-0.217212
0.247528,-0.498354,1.700039,-0.049677,-0.697831,-1.155659,1.061648,0.219500,0.496392,1.690534,0.052584,-0.693765,1.158062,1.051298,-0.216588
0.252113,-0.498324,1.679824,-0.055135,-0.688806,-1.157220,1.054805,0.219068,0.496410,1.669920,0.058800,-0.684548,1.159631,1.044293,-0.215887
0.256698,-0.498322,1.659400,-0.061143,-0.679704,-1.158759,1.048013,0.218602,0.496502,1.649125,0.065446,-0.675057,1.161223,1.037194,-0.215285
0.261282,-0.498345,1.638206,-0.067762,-0.670290,-1.160345,1.041041,0.218145,0.496513,1.627555,0.072707,-0.664763,1.162672,1.030007,-0.214701
0.265867,-0.498346,1.621561,-0.073108,-0.662691,-1.161521,1.035595,0.217806,0.496471,1.610508,0.078626,-0.656503,1.163673,1.024394,-0.214228
0.270452,-0.498294,1.601409,-0.079763,-0.653190,-1.162811,1.029124,0.217359,0.496434,1.589753,0.085853,-0.646432,1.164457,1.017780,-0.213572
0.275036,-0.498301,1.579743,-0.087098,-0.642663,-1.163520,1.022216,0.216943,0.496401,1.567862,0.093658,-0.635540,1.164737,1.010727,-0.212956
0.279621,-0.498248,1.557685,-0.094860,-0.631672,-1.163840,1.015210,0.216298,0.496350,1.546033,0.101608,-0.624509,1.164698,1.003588,-0.212332
0.284206,-0.498189,1.534553,-0.103348,-0.619852,-1.163948,1.007724,0.215598,0.496333,1.523638,0.109860,-0.612875,1.164663,0.996079,-0.211655
0.288790,-0.498165,1.510386,-0.112515,-0.607224,-1.164083,0.999710,0.214850,0.496257,1.500298,0.118210,-0.600327,1.164672,0.988204,-0.210945
0.293375,-0.498157,1.489398,-0.120482,-0.595991,-1.164213,0.992801,0.214274,0.496206,1.479836,0.125085,-0.588765,1.164629,0.982202,-0.210300
0.297960,-0.498062,1.468690,-0.128154,-0.584571,-1.164307,0.986914,0.213708,0.496157,1.459150,0.131360,-0.576836,1.164614,0.977639,-0.209730
0.302544,-0.498050,1.447819,-0.135361,-0.572747,-1.164386,0.982725,0.213044,0.496065,1.437837,0.137227,-0.564503,1.164641,0.974731,-0.209251
0.307129,-0.498009,1.426183,-0.142205,-0.560171,-1.164415,0.980139,0.212444,0.496051,1.415396,0.143032,-0.551585,1.164611,0.973331,-0.209050
0.311714,-0.497976,1.409803,-0.146958,-0.550535,-1.164402,0.979231,0.212050,0.496024,1.398529,0.147328,-0.541891,1.164556,0.972694,-0.209028
0.316298,-0.497975,1.389629,-0.152288,-0.538620,-1.164440,0.978256,0.211890,0.496005,1.378134,0.152613,-0.530055,1.164490,0.971346,-0.209000
0.320883,-0.497885,1.367751,-0.157843,-0.525670,-1.164527,0.976428,0.211668,0.496000,1.356454,0.158322,-0.517454,1.164477,0.969249,-0.209046
0.325467,-0.497834,1.345692,-0.163381,-0.512511,-1.164579,0.973816,0.211454,0.495964,1.334510,0.164020,-0.504782,1.164433,0.966530,-0.209023
0.330052,-0.497729,1.322405,-0.169422,-0.498613,-1.164585,0.970739,0.211231,0.495949,1.311231,0.169969,-0.491731,1.164412,0.963433,-0.208992
0.334637,-0.497735,1.297158,-0.176193,-0.483828,-1.164640,0.967197,0.211006,0.495950,1.286237,0.176415,-0.477750,1.164350,0.959937,-0.209000
0.339221,-0.497692,1.275685,-0.182178,-0.471679,-1.164676,0.964026,0.210776,0.495925,1.265026,0.181799,-0.466069,1.164412,0.956908,-0.209006
0.343806,-0.497677,1.254485,-0.188100,-0.459879,-1.164715,0.960907,0.210825,0.495958,1.244099,0.187007,-0.454636,1.164428,0.953904,-0.208936
0.348391,-0.497661,1.233278,-0.194052,-0.448118,-1.164762,0.957792,0.210830,0.495976,1.222979,0.192201,-0.443131,1.164474,0.950835,-0.208923
0.352975,-0.497675,1.214427,-0.199135,-0.437705,-1.164774,0.955122,0.210819,0.495977,1.204233,0.196770,-0.433020,1.164476,0.948153,-0.208909
0.357560,-0.497664,1.201601,-0.202539,-0.430598,-1.164807,0.953268,0.210826,0.496025,1.191433,0.199921,-0.426198,1.164548,0.946284,-0.208925
0.362145,-0.497681,1.184637,-0.206890,-0.421288,-1.164795,0.950800,0.210761,0.496005,1.174493,0.204121,-0.417410,1.164536,0.943830,-0.208933
0.366729,-0.497680,1.163628,-0.212098,-0.409838,-1.164838,0.947775,0.210630,0.496014,1.153654,0.209402,-0.406730,1.164472,0.940877,-0.208848
0.371314,-0.497686,1.142919,-0.217217,-0.398813,-1.164846,0.944852,0.210542,0.496043,1.133149,0.214697,-0.396472,1.164493,0.938237,-0.208878
0.375899,-0.497700,1.124011,-0.221904,-0.388971,-1.164857,0.942540,0.210493,0.496035,1.114487,0.219496,-0.387317,1.164469,0.935830,-0.208859
0.380483,-0.497689,1.095710,-0.229233,-0.374934,-1.164883,0.939224,0.210349,0.496042,1.086190,0.226766,-0.373795,1.164500,0.933033,-0.208860
0.385068,-0.497699,1.076658,-0.234185,-0.365787,-1.164880,0.937797,0.210316,0.496030,1.066763,0.231666,-0.364709,1.164540,0.931928,-0.208846
0.389653,-0.497761,1.056314,-0.239429,-0.356262,-1.164849,0.937108,0.210245,0.496098,1.046075,0.236868,-0.355399,1.164599,0.931497,-0.208846
0.394237,-0.497807,1.035788,-0.244611,-0.346861,-1.164844,0.936847,0.210193,0.496116,1.025486,0.242045,-0.346169,1.164622,0.931281,-0.208859
0.398822,-0.497868,1.015386,-0.249768,-0.337748,-1.164768,0.936733,0.210176,0.496136,1.005199,0.247043,-0.337220,1.164627,0.931192,-0.208883
0.403407,-0.497894,0.999142,-0.253864,-0.330530,-1.164744,0.936834,0.210041,0.496135,0.989116,0.250941,-0.330198,1.164655,0.931149,-0.208871
0.407991,-0.497942,0.984565,-0.257397,-0.324112,-1.164718,0.936954,0.210041,0.496172,0.974744,0.254420,-0.323942,1.164617,0.931179,-0.208835
0.412576,-0.498051,0.964282,-0.262387,-0.315280,-1.164665,0.937148,0.209911,0.496172,0.954757,0.259258,-0.315326,1.164620,0.931180,-0.208869
0.417160,-0.498126,0.944962,-0.266975,-0.307100,-1.164619,0.937307,0.209821,0.496219,0.935850,0.263829,-0.307547,1.164621,0.931248,-0.208841
0.421745,-0.498208,0.918519,-0.273465,-0.296320,-1.164475,0.937508,0.209760,0.496359,0.910202,0.270117,-0.297682,1.164533,0.931345,-0.208784
0.426330,-0.498331,0.893968,-0.279629,-0.286891,-1.164423,0.937799,0.209665,0.496536,0.887111,0.276025,-0.289571,1.164535,0.931379,-0.208786
0.430914,-0.498363,0.876132,-0.284276,-0.280570,-1.164329,0.937980,0.209662,0.496655,0.870709,0.280182,-0.284274,1.164550,0.931463,-0.208805
0.435499,-0.498431,0.859304,-0.288736,-0.274956,-1.164268,0.938241,0.209674,0.496756,0.855038,0.284053,-0.279590,1.164573,0.931543,-0.208754
0.440084,-0.498507,0.843040,-0.293023,-0.269878,-1.164171,0.938452,0.209673,0.496932,0.839944,0.287599,-0.275401,1.164558,0.931652,-0.208723
