timestamp,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
0.035555,-0.418580,2.530235,0.080820,-1.071345,-0.702835,1.000505,0.213575,0.418620,2.522350,-0.081895,-1.066160,0.703900,1.000655,-0.216570
0.040189,-0.418521,2.525289,0.080827,-1.068240,-0.704054,1.003187,0.214096,0.418789,2.515509,-0.081906,-1.062856,0.705298,1.005686,-0.217361
0.044822,-0.418471,2.519832,0.080883,-1.064952,-0.705038,1.008225,0.214714,0.419047,2.508177,-0.081974,-1.059673,0.706497,1.012086,-0.218056
0.049456,-0.418412,2.513467,0.080866,-1.061374,-0.706045,1.014616,0.215289,0.419504,2.500214,-0.081912,-1.056451,0.707542,1.018634,-0.218699
0.054090,-0.418421,2.505945,0.080860,-1.057515,-0.707014,1.020993,0.215768,0.420320,2.491330,-0.081955,-1.052869,0.709482,1.025033,-0.219340
0.058723,-0.418620,2.497367,0.080896,-1.053297,-0.709376,1.027453,0.216311,0.421632,2.481835,-0.081944,-1.048914,0.714609,1.031473,-0.219920
0.063357,-0.419195,2.488474,0.081010,-1.049137,-0.713968,1.033552,0.216758,0.423840,2.472774,-0.081985,-1.044943,0.722926,1.037473,-0.220387
0.067991,-0.419787,2.482327,0.081047,-1.046348,-0.717901,1.037533,0.217084,0.425880,2.466628,-0.081999,-1.042185,0.729849,1.041480,-0.220574
0.072624,-0.421018,2.473433,0.081178,-1.042268,-0.724958,1.042953,0.217537,0.429420,2.457481,-0.081979,-1.038137,0.740850,1.047372,-0.220715
0.077258,-0.423071,2.463100,0.081329,-1.037435,-0.735193,1.049160,0.217990,0.434151,2.446314,-0.081923,-1.033301,0.753978,1.054264,-0.220851
0.081891,-0.425697,2.453136,0.081421,-1.032708,-0.746529,1.054963,0.218311,0.438776,2.435119,-0.081931,-1.028464,0.766297,1.061194,-0.220956
0.086525,-0.432682,2.432753,0.081587,-1.023496,-0.768325,1.068389,0.218731,0.447000,2.413333,-0.081937,-1.019388,0.787447,1.077492,-0.220998
0.091159,-0.437649,2.419601,0.081649,-1.017924,-0.780827,1.079061,0.218754,0.451816,2.399689,-0.081930,-1.014351,0.799897,1.089216,-0.221019
0.095792,-0.443031,2.405470,0.081734,-1.012448,-0.793910,1.091183,0.218837,0.456746,2.385312,-0.081918,-1.009507,0.813517,1.101346,-0.221022
0.100426,-0.448304,2.390951,0.081889,-1.007441,-0.807729,1.102938,0.218840,0.461637,2.370979,-0.081842,-1.004873,0.828044,1.111901,-0.221001
0.105060,-0.453703,2.375807,0.082017,-1.002604,-0.823164,1.113218,0.218893,0.466841,2.356408,-0.081767,-1.000139,0.843843,1.120069,-0.221026
0.109693,-0.458251,2.362917,0.082130,-0.998585,-0.836662,1.120054,0.218868,0.471353,2.344021,-0.081745,-0.995897,0.857413,1.125457,-0.220983
0.114327,-0.463703,2.347657,0.082262,-0.993774,-0.852336,1.126139,0.218838,0.476802,2.329137,-0.081624,-0.990601,0.873166,1.131022,-0.220969
0.118961,-0.469489,2.331836,0.082354,-0.988611,-0.868381,1.132144,0.218855,0.482453,2.313063,-0.081520,-0.984778,0.888959,1.136710,-0.220897
