timestamp,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
0.184361,-0.552314,2.013615,0.059327,-0.799940,-0.955197,1.042539,0.211766,0.552540,2.009297,-0.053911,-0.801316,0.960952,1.045821,-0.211959
0.188941,-0.553972,1.998281,0.056409,-0.797071,-0.964654,1.045900,0.211712,0.553741,1.992798,-0.050801,-0.797866,0.970546,1.049592,-0.211917
0.193520,-0.555388,1.980644,0.052760,-0.793681,-0.975416,1.050181,0.211761,0.554680,1.974351,-0.046943,-0.794133,0.981440,1.053803,-0.211920
0.198100,-0.556384,1.963662,0.048926,-0.790422,-0.985554,1.054197,0.211755,0.555471,1.957015,-0.043280,-0.790776,0.991577,1.057727,-0.211913
0.202680,-0.557187,1.946368,0.044881,-0.787207,-0.995841,1.058375,0.211835,0.556252,1.939722,-0.039855,-0.787333,1.001912,1.061743,-0.211879
0.207259,-0.557799,1.932153,0.041613,-0.784604,-1.004243,1.061805,0.211878,0.556869,1.925527,-0.037232,-0.784302,1.010309,1.064963,-0.211848
0.211839,-0.558494,1.915329,0.037877,-0.781308,-1.014142,1.065858,0.211863,0.557606,1.908635,-0.034185,-0.780298,1.020219,1.068741,-0.211819
0.216419,-0.559223,1.897994,0.034207,-0.777491,-1.024045,1.069923,0.211981,0.558390,1.890898,-0.031011,-0.775744,1.029722,1.072533,-0.211814
0.220999,-0.559919,1.880180,0.030580,-0.773251,-1.032660,1.074009,0.211975,0.559049,1.872381,-0.027570,-0.770737,1.037505,1.076345,-0.211720
0.225578,-0.560477,1.861726,0.027045,-0.768422,-1.039851,1.078077,0.211984,0.559301,1.853502,-0.023907,-0.765160,1.044703,1.080009,-0.211561
0.230158,-0.560836,1.843309,0.023537,-0.763198,-1.046841,1.082048,0.211983,0.559365,1.834877,-0.020087,-0.759359,1.051676,1.082946,-0.211456
0.234738,-0.561122,1.820718,0.018988,-0.756358,-1.054908,1.086228,0.211927,0.559447,1.812133,-0.015103,-0.751726,1.059573,1.085197,-0.211232
0.239318,-0.561332,1.801600,0.014791,-0.750067,-1.060999,1.088545,0.211956,0.559423,1.792581,-0.010472,-0.744604,1.065175,1.086405,-0.211112
0.243897,-0.561558,1.781918,0.010195,-0.743067,-1.065802,1.090756,0.211910,0.559342,1.772149,-0.005514,-0.736691,1.069278,1.087327,-0.210841
0.248477,-0.561684,1.765401,0.006166,-0.736839,-1.068439,1.091789,0.211839,0.559218,1.755256,-0.001362,-0.729717,1.071290,1.086968,-0.210624
0.253057,-0.561845,1.743915,0.000680,-0.728096,-1.070481,1.091576,0.211726,0.559116,1.733707,0.003922,-0.720322,1.072864,1.085235,-0.210262
0.257636,-0.561831,1.722659,-0.004981,-0.718700,-1.071591,1.090202,0.211644,0.558983,1.712560,0.008914,-0.710782,1.073794,1.083136,-0.209858
0.262216,-0.561819,1.701313,-0.010564,-0.708819,-1.072370,1.088718,0.211441,0.558832,1.691470,0.013761,-0.700977,1.074511,1.081012,-0.209420
0.266796,-0.561732,1.679805,-0.016035,-0.698656,-1.072990,1.087058,0.211220,0.558680,1.670306,0.018837,-0.690920,1.075183,1.078822,-0.208972
0.271376,-0.561681,1.656416,-0.021881,-0.687540,-1.073620,1.085193,0.210946,0.558462,1.647717,0.024647,-0.679915,1.075885,1.076398,-0.208442
0.275955,-0.561584,1.633310,-0.027647,-0.676374,-1.074294,1.083010,0.210656,0.558222,1.625426,0.030643,-0.669121,1.076644,1.073443,-0.207959
0.280535,-0.561457,1.611991,-0.033217,-0.666047,-1.074920,1.080040,0.210185,0.557948,1.604867,0.036200,-0.659213,1.077060,1.069636,-0.207489
0.285115,-0.561404,1.595035,-0.037844,-0.657772,-1.075188,1.076953,0.209887,0.557665,1.588371,0.040735,-0.651168,1.077124,1.065981,-0.207155
0.289695,-0.561290,1.576504,-0.043038,-0.648619,-1.075236,1.072798,0.209476,0.557354,1.570178,0.045885,-0.642143,1.077143,1.061193,-0.206777
0.294274,-0.561177,1.556162,-0.048996,-0.638427,-1.075260,1.067319,0.209061,0.557029,1.549858,0.051681,-0.631790,1.077148,1.055463,-0.206333
0.298854,-0.561149,1.535770,-0.055165,-0.627963,-1.075272,1.061423,0.208669,0.556586,1.529158,0.057796,-0.621060,1.077189,1.050185,-0.205881
0.303434,-0.560994,1.515171,-0.061414,-0.617211,-1.075300,1.056270,0.208291,0.555892,1.508159,0.064174,-0.610400,1.077238,1.045718,-0.205421
0.308013,-0.560770,1.495253,-0.067629,-0.606685,-1.075315,1.051747,0.207802,0.554933,1.488025,0.070563,-0.600206,1.077207,1.041504,-0.204827
0.312593,-0.559959,1.468375,-0.076296,-0.592842,-1.075479,1.045615,0.206795,0.553123,1.461394,0.079583,-0.586916,1.077659,1.035799,-0.204002
0.317173,-0.558918,1.448364,-0.083026,-0.582712,-1.076164,1.041077,0.206093,0.551337,1.441573,0.086623,-0.577169,1.078527,1.031452,-0.203497
0.321753,-0.557410,1.427171,-0.090426,-0.572247,-1.077053,1.035921,0.205356,0.549397,1.420752,0.094244,-0.566806,1.079490,1.025997,-0.202979
0.326332,-0.556035,1.412354,-0.095791,-0.564945,-1.077689,1.031645,0.204918,0.548012,1.406070,0.099727,-0.559505,1.080145,1.021335,-0.202620
0.330912,-0.553939,1.391324,-0.103576,-0.554424,-1.078561,1.024270,0.204387,0.546072,1.385207,0.107784,-0.549114,1.081075,1.013147,-0.202149
0.335492,-0.551765,1.370847,-0.111610,-0.543969,-1.079460,1.015200,0.203840,0.544221,1.364459,0.115956,-0.538908,1.082026,1.003624,-0.201692
0.340071,-0.549442,1.350069,-0.120082,-0.533343,-1.080373,1.005238,0.203345,0.542390,1.342905,0.124313,-0.528465,1.082976,0.994189,-0.201290
0.344651,-0.547122,1.328362,-0.129191,-0.522367,-1.081294,0.995762,0.202885,0.540469,1.320009,0.133158,-0.517045,1.084023,0.985468,-0.200809
0.349231,-0.544795,1.305824,-0.138573,-0.511139,-1.082215,0.987226,0.202530,0.538597,1.296104,0.142320,-0.504794,1.085021,0.977758,-0.200287
0.353811,-0.541980,1.276874,-0.150396,-0.496527,-1.083417,0.978000,0.202059,0.536441,1.265531,0.153757,-0.489079,1.086262,0.969362,-0.199752
0.358390,-0.539816,1.253488,-0.159667,-0.484427,-1.084441,0.971784,0.201718,0.534753,1.241575,0.162489,-0.476840,1.087294,0.963842,-0.199340
0.362970,-0.538301,1.236984,-0.166056,-0.475788,-1.085191,0.967910,0.201462,0.533635,1.225264,0.168361,-0.468587,1.088003,0.960220,-0.199068
0.367550,-0.536605,1.219113,-0.172848,-0.466350,-1.085954,0.963767,0.201157,0.532495,1.207936,0.174503,-0.459747,1.088818,0.956258,-0.198819
0.372130,-0.534377,1.194862,-0.181926,-0.453503,-1.086973,0.958195,0.200652,0.531166,1.184675,0.182494,-0.447714,1.089896,0.950838,-0.198521
0.376709,-0.532396,1.171565,-0.190458,-0.441326,-1.088040,0.952877,0.200470,0.530241,1.162431,0.189679,-0.436125,1.090973,0.945496,-0.198414
0.381289,-0.530766,1.148946,-0.198363,-0.429350,-1.088914,0.947581,0.200470,0.529692,1.140473,0.196410,-0.424496,1.091591,0.940163,-0.198419
0.385869,-0.529588,1.126197,-0.205770,-0.417311,-1.089246,0.942249,0.200369,0.529547,1.118011,0.202932,-0.412617,1.091809,0.935041,-0.198318
0.390448,-0.528887,1.101686,-0.213255,-0.404273,-1.089523,0.937069,0.200272,0.529460,1.093375,0.209810,-0.399809,1.091939,0.930477,-0.198253
