timestamp,movement
0.000000,0.000000
0.005025,-0.000000
0.010050,0.000000
0.015075,-0.000000
0.020101,0.000000
0.025126,-0.000000
0.030151,0.000000
0.035176,-0.000000
0.040201,0.000000
0.045226,-0.000000
0.050251,0.000000
0.055276,-0.000000
0.060302,0.000000
0.065327,-0.000000
0.070352,0.000000
0.075377,-0.000000
0.080402,0.000000
0.085427,0.000000
0.090452,-0.000000
0.095477,0.000000
0.100503,-0.000000
0.105528,0.000000
0.110553,-0.000000
0.115578,0.000000
0.120603,-0.000000
0.125628,0.000000
0.130653,-0.000000
0.135678,0.000000
0.140704,-0.000000
0.145729,0.000000
0.150754,-0.000000
0.155779,0.000000
0.160804,-0.000000
0.165829,0.000000
0.170854,0.000000
0.175879,-0.000000
0.180905,0.000000
0.185930,-0.000000
0.190955,0.000000
0.195980,-0.000000
0.201005,0.000000
0.206030,-0.000000
0.211055,0.000000
0.216080,-0.000000
0.221106,0.000000
0.226131,-0.000000
0.231156,0.000000
0.236181,-0.000000
0.241206,0.000000
0.246231,-0.000000
0.251256,-0.000000
0.256281,0.000000
0.261307,-0.000000
0.266332,0.000000
0.271357,-0.000000
0.276382,0.000000
0.281407,-0.000000
0.286432,0.000000
0.291457,-0.000000
0.296482,0.000000
0.301508,-0.000000
0.306533,0.000000
0.311558,-0.000000
0.316583,0.000000
0.321608,-0.000000
0.326633,0.000000
0.331658,-0.000000
0.336683,-0.000000
0.341709,0.000000
0.346734,-0.000000
0.351759,0.000000
0.356784,-0.000000
0.361809,0.000000
0.366834,-0.000000
0.371859,0.000000
0.376884,-0.000000
0.381910,0.000000
0.386935,-0.000000
0.391960,0.000000
0.396985,-0.000000
0.402010,0.000000
0.407035,-0.000000
0.412060,0.000000
0.417085,0.000000
0.422111,-0.000000
0.427136,0.000000
0.432161,-0.000000
0.437186,0.000000
0.442211,-0.000000
0.447236,0.000000
0.452261,-0.000000
0.457286,0.000000
0.462312,-0.000000
0.467337,0.000000
0.472362,-0.000000
0.477387,0.000001
0.482412,-0.000002
0.487437,0.000006
0.492462,-0.000012
0.497487,0.000014
0.502513,0.000048
0.507538,-0.000479
0.512563,0.014786
0.517588,0.062277
0.522613,0.165260
0.527638,0.377764
0.532663,0.719492
0.537688,1.214893
0.542714,1.894171
0.547739,2.715096
0.552764,3.614626
0.557789,4.516348
0.562814,5.283223
0.567839,5.832455
0.572864,6.160098
0.577889,6.296545
0.582915,6.348152
0.587940,6.409341
0.592965,6.509832
0.597990,6.623273
0.603015,6.673518
0.608040,6.578613
0.613065,6.292006
0.618090,5.821371
0.623116,5.225967
0.628141,4.598652
0.633166,4.041360
0.638191,3.641587
0.643216,3.455121
0.648241,3.497521
0.653266,3.744507
0.658291,4.139678
0.663317,4.606967
0.668342,5.064937
0.673367,5.440232
0.678392,5.678116
0.683417,5.748814
0.688442,5.649245
0.693467,5.400492
0.698492,5.041942
0.703518,4.623372
0.708543,4.196398
0.713568,3.806641
0.718593,3.487671
0.723618,3.257453
0.728643,3.117587
0.733668,3.055204
0.738693,3.047025
0.743719,3.064805
0.748744,3.081263
0.753769,3.075539
0.758794,3.037367
0.763819,2.969323
0.768844,2.886814
0.773869,2.815814
0.778894,2.788636
0.783920,2.838339
0.788945,2.992562
0.793970,3.267665
0.798995,3.664082
0.804020,4.163628
0.809045,4.729322
0.814070,5.307952
0.819095,5.835278
0.824121,6.243387
0.829146,6.469454
0.834171,6.464798
0.839196,6.203118
0.844221,5.688163
0.849246,4.957086
0.854271,4.078100
0.859296,3.146343
0.864322,2.270278
0.869347,1.556892
0.874372,1.103135
0.879397,0.982627
0.884422,1.236796
0.889447,1.872074
0.894472,2.849999
0.899497,4.082699
0.904523,5.441381
0.909548,6.765248
0.914573,7.882717
0.919598,8.639837
0.924623,8.921861
0.929648,8.676992
0.934673,7.929745
0.939698,6.779700
0.944724,5.390966
0.949749,3.955639
0.954774,2.652256
0.959799,1.612639
0.964824,0.894695
0.969849,0.484955
0.974874,0.322006
0.979899,0.316541
0.984925,0.378491
0.989950,0.439182
0.994975,0.458119
1.000000,0.425189
